t_id;c_ticker;c_name;industry;mcap_m1;mcap_log;mcap_group;large_cap;mid_cap;small_cap;ebitda_margin;debt_ebitda;cash_assets_ratio;pb_ratio;announced_date;target_public;cash_payment_pct;deal_mcap;cross_border;car_1;car_2;car_1_beta_adjusted;car_2_beta_adjusted
IQTR1877122423;KCR;Konecranes Plc (HLSE:KCR);Industrials;4084,140249;8,31486652;large;1;0;0;11,7363;78,99033188;12,8855109;81,16425806;2024-04-03 00:00:00;0;100;0,026443754;1;-0,437629627;-0,786779313;-0,584548571;-1,03164422
IQTR1877123627;IR;Ingersoll Rand Inc. (NYSE:IR);Industrials;37337,62049;10,52775669;large;1;0;0;24,732;77,96071975;10,2515501;239,9050374;2024-04-03 00:00:00;0;100;0,041780916;1;-0,496358518;-0,804727975;-0,65335342;-1,066386145
IQTR1877180479;VIMAB;Vimab Group AB  (OM:VIMAB);Industrials;20,23480828;3,007404303;small;0;0;1;7,8466;187,6297189;8,937443772;60,07941863;2024-04-02 00:00:00;0;28,57;20,75631231;0;-0,869155947;-1,437302438;0,664339442;1,118523211
IQTR1877183421;LNN;Lindsay Corporation (NYSE:LNN);Industrials;1267,084161;7,144473604;mid;0;1;0;17,8915;-33,17253891;20,86362672;165,8665146;2024-04-03 00:00:00;0;100;0,576125898;1;-0,492175673;-0,815612271;-0,406918311;-0,673516667
IQTR1877211436;KER;Kering SA (ENXTPA:KER);Consumer Discretionary;48645,77282;10,79232019;large;1;0;0;28,6261;248,1521158;9,480987263;106,3887415;2024-04-04 00:00:00;0;100;2,902862712;1;2,514071351;4,197610808;2,941836855;4,910553314
IQTR1877285119;TKA;Telekom Austria AG (WBAG:TKA);Materials;3350,652584;8,116910407;large;1;0;0;-3,0395;331,6898242;20,67169764;9,45283583;2024-04-03 00:00:00;0;100;0,258457115;0;-0,417703825;-0,750226196;-0,569311056;-1,002904914
IQTR1877309279;ATSI;Aplicaciones y Tratamiento de Sistemas, S.A. (BME:ATSI);Information Technology;165,4480351;5,108657158;small;0;0;1;5,8729;-1,440893639;12,35871594;247,3759227;2024-04-04 00:00:00;0;100;2,955610804;0;2,518356244;4,200525875;-1,425279415;-2,372200223
IQTR1877315877;SSE;SSE plc (LSE:SSE);Utilities;22165,21215;10,00627932;large;1;0;0;23,9418;309,5838137;3,664282544;61,55409142;2024-03-25 00:00:00;0;100;0,005684584;0;-0,725168474;-1,179924319;-0,465567211;-0,747255547
IQTR1877425342;ALLDL;Groupe LDLC société anonyme (ENXTPA:ALLDL);Consumer Discretionary;106,8600562;4,671520092;small;0;0;1;2,1212;29,09999504;12,60234961;36,59693486;2024-04-05 00:00:00;0;100;6,082721865;0;-1,40349729;-2,331332758;-1,120476739;-1,85963184
IQTR1877493491;XANO B;XANO Industri AB  (OM:XANO B);Industrials;480,8186044;6,175490077;mid;0;1;0;11,4619;204,951555;8,214853064;128,5781591;2024-04-05 00:00:00;0;;0,30156903;1;-1,395434195;-2,291638557;-1,154854745;-1,890672808
